Master Index,before_after,date_diff,flight_length,label,hierarchy,number_flights_before
1,before,-1,4723.0,intake gasket leak/damage,,0
2,before,-2,4649.0,intake gasket leak/damage,,3
3,same,0,40.0,intake gasket leak/damage,,-1
4,before,0,14.0,intake gasket leak/damage,,0
5,same,0,683.0,intake gasket leak/damage,,-1
7,after,1,3482.0,intake gasket leak/damage,,-1
8,same,0,263.0,intake gasket leak/damage,,-1
9,before,-1,4979.0,intake gasket leak/damage,,0
11,after,2,5204.0,intake gasket leak/damage,,-1
13,after,5,4770.0,intake gasket leak/damage,,-1
16,before,0,450.0,intake gasket leak/damage,,0
17,before,-4,6525.0,intake gasket leak/damage,,3
18,before,-3,2349.0,intake gasket leak/damage,,2
19,same,0,14.0,intake gasket leak/damage,,-1
20,after,1,4870.0,intake gasket leak/damage,,-1
21,same,0,6442.0,intake gasket leak/damage,,-1
22,after,1,5149.0,intake gasket leak/damage,,-1
23,before,0,4474.0,intake gasket leak/damage,,0
24,before,0,5127.0,intake gasket leak/damage,,0
25,after,1,4216.0,intake gasket leak/damage,,-1
27,after,3,5493.0,intake gasket leak/damage,,-1
28,before,-2,9962.0,intake gasket leak/damage,,2
30,before,0,605.0,intake gasket leak/damage,,0
31,before,0,574.0,intake gasket leak/damage,,0
32,after,1,5569.0,intake gasket leak/damage,,-1
33,before,-2,45.0,intake gasket leak/damage,,2
34,same,0,419.0,intake gasket leak/damage,,-1
35,after,1,4590.0,intake gasket leak/damage,,-1
37,before,-3,6760.0,intake gasket leak/damage,,1
38,same,0,29.0,intake gasket leak/damage,,-1
40,same,0,372.0,intake gasket leak/damage,,-1
41,after,2,4823.0,intake gasket leak/damage,,-1
43,after,3,6161.0,intake gasket leak/damage,,-1
44,before,-2,6820.0,intake gasket leak/damage,,2
45,same,0,465.0,intake gasket leak/damage,,-1
46,same,0,138.0,intake gasket leak/damage,,-1
47,after,3,3232.0,intake gasket leak/damage,,-1
48,same,0,1583.0,intake gasket leak/damage,,-1
49,before,-1,45.0,intake gasket leak/damage,,2
50,after,1,5912.0,intake gasket leak/damage,,-1
51,before,-2,5969.0,intake gasket leak/damage,,4
52,after,13,7040.0,intake gasket leak/damage,,-1
53,after,1,14.0,intake gasket leak/damage,,-1
54,after,3,5893.0,intake gasket leak/damage,,-1
56,before,-3,6150.0,intake gasket leak/damage,,3
57,before,-1,14.0,intake gasket leak/damage,,1
58,after,4,5337.0,intake gasket leak/damage,,-1
59,before,0,447.0,intake gasket leak/damage,,0
60,same,0,310.0,intake gasket leak/damage,,-1
